Product,Detection,Additional_Information,Technique
ExtraHop,Alias Member Enumeration,msrpc_alias_member_enum,"T1069: Permission Groups Discovery, T1087: Account Discovery"
ExtraHop,All Object Enumeration,ldap_object_enum,T1087: Account Discovery
ExtraHop,Anonymous FTP Auth Enabled,anonymous_ftp,"T1078: Valid Accounts, T1105: Ingress Tool Transfer"
ExtraHop,Anonymous FTP Authentication Enabled,anonymous_ftp_individual,"T1078: Valid Accounts, T1105: Ingress Tool Transfer"
ExtraHop,Apache HTTP Server Path Traversal Exploit,apache_http_server_path_traversal,T1083: File and Directory Discovery
ExtraHop,Apache Struts 2 Exploit Attempt,apache_struts2_exploit_attempt,T1190: Exploit Public-Facing Application
ExtraHop,Apache Tomcat JSP Exploit Attempt,tomcat_jsp_upload,T1210: Exploitation of Remote Services
ExtraHop,AS-REP Roasting Activity,ldap_as_rep_activity,T1558: Steal or Forge Kerberos Tickets
ExtraHop,AWS Cloud Service Enumeration,aws_services_enumeration,T1526: Cloud Service Discovery
ExtraHop,AWS Instance Metadata Service (IMDS) Proxy,aws_imds_proxying,T1552: Unsecured Credentials
ExtraHop,BloodHound Enumeration Activity,bloodhound_enumeration_activity,"T1018: Remote System Discovery, T1033: System Owner/User Discovery, T1059: Command and Scripting Interpreter, T1069: Permission Groups Discovery, T1087: Account Discovery, T1106: Native API, T1201: Password Policy Discovery, T1482: Domain Trust Discovery, T1560: Archive Collected Data"
ExtraHop,Cisco CDP Exploit Attempt,cisco_cdp_vulnerabilities,T1210: Exploitation of Remote Services
ExtraHop,Cobalt Strike C&C HTTP Connection,cobalt_strike_c2_http,T1071: Application Layer Protocol
ExtraHop,Cobalt Strike C&C SSL/TLS Connection,cobalt_strike_c2_tls,T1071: Application Layer Protocol
ExtraHop,Cobalt Strike DNS Beaconing,cobalt_strike_c2_dns,T1071: Application Layer Protocol
ExtraHop,Command-and-Control Beaconing,c2_web_beaconing,"T1001: Data Obfuscation, T1008: Fallback Channels, T1029: Scheduled Transfer, T1102: Web Service, T1104: Multi-Stage Channels, T1132: Data Encoding, T1176: Browser Extensions, T1205: Traffic Signaling, T1571: Non-Standard Port, T1573: Encrypted Channel"
ExtraHop,Confirmed OnePercent Group Ransomware IOC,onepercent_ml,"T1041: Exfiltration Over C2 Channel, T1071: Application Layer Protocol, T1486: Data Encrypted for Impact, T1573: Encrypted Channel"
ExtraHop,Cross-Site Scripting (XSS) Attack,xss_attack,T1203: Exploitation for Client Execution
ExtraHop,Cryptocurrency Mining,cryptocurrency_mining,T1496: Resource Hijacking
ExtraHop,CVE-2017-12635 Apache CouchDB Exploit Attempt,cve_2017_12635,"T1068: Exploitation for Privilege Escalation, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2018-1111 Red Hat DHCP Exploit Attempt,cve_2018_1111,"T1203: Exploitation for Client Execution, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2018-13379 Fortinet FortiOS Exploit,cve_2018_13379,"T1190: Exploit Public-Facing Application, T1210: Exploitation of Remote Services, T1212: Exploitation for Credential Access, T1552: Unsecured Credentials, T1555: Credentials from Password Stores"
ExtraHop,CVE-2018-15961 Adobe ColdFusion Exploit Attempt,cve_2018_15961,T1210: Exploitation of Remote Services
ExtraHop,CVE-2019-0193 Apache Solr Exploit Attempt,cve_2019_0193,T1210: Exploitation of Remote Services
ExtraHop,CVE-2019-0604 Microsoft SharePoint Exploit Attempt,cve_2019_0604,"T1190: Exploit Public-Facing Application, T1505: Server Software Component"
ExtraHop,CVE-2019-0708 RDP Exploit Attempt,cve_2019_0708,T1210: Exploitation of Remote Services
ExtraHop,CVE-2019-10149 Exim Exploit Attempt,cve_2019_10149,T1210: Exploitation of Remote Services
ExtraHop,CVE-2019-11510 Pulse Connect Secure Exploit Attempt,cve_2019_11510,"T1003: OS Credential Dumping, T1190: Exploit Public-Facing Application, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2019-11580 Atlassian Crowd Exploit,cve_2019_11580,T1210: Exploitation of Remote Services
ExtraHop,CVE-2019-15846 Exim Exploit Attempt,cve_2019_15846,"T1190: Exploit Public-Facing Application, T1210: Exploitation of Remote Services"
ExtraHop,CVE-2019-17558 Apache Solr Exploit,cve_2019_17558,T1210: Exploitation of Remote Services
ExtraHop,CVE-2019-19781 Citrix ADC and Gateway Exploit,cve_2019_19781_exploit,T1210: Exploitation of Remote Services
ExtraHop,CVE-2019-19781 Citrix ADC and Gateway Scan,cve_2019_19781_scan,T1210: Exploitation of Remote Services
ExtraHop,CVE-2019-8394 Zoho ManageEngine Exploit Attempt,cve_2019_8394,"T1210: Exploitation of Remote Services, T1505: Server Software Component"
ExtraHop,CVE-2019-9670 Synacor Zimbra Collaboration Suite Exploit Attempt,cve_2019_9670,"T1190: Exploit Public-Facing Application, T1212: Exploitation for Credential Access"
ExtraHop,CVE-2020-0601 Windows CryptoAPI ECC Validation Vulnerability,cve_2020_0601,T1557: Man-in-the-Middle
ExtraHop,CVE-2020-0796 Windows 10 SMBv3 Exploit Attempt,cve_2020_0796,T1210: Exploitation of Remote Services
